month,state,permit,handgun,long_gun,other,Total Sales,Year,Month
2016-06,Oklahoma,0,11933,8811,1415,22159,2016,Jun
2016-06,Oregon,48,14054,11400,0,25454,2016,Jun
2016-06,Pennsylvania,23639,44677,11841,35,56553,2016,Jun
2016-06,Puerto Rico,0,1025,214,36,1275,2016,Jun
2016-06,Rhode Island,0,1146,862,85,2093,2016,Jun
2016-06,South Carolina,12286,9619,5599,680,15898,2016,Jun
2016-06,South Dakota,1155,2460,3139,309,5908,2016,Jun
2016-06,Tennessee,2123,22476,15194,0,37670,2016,Jun
2016-06,Texas,23267,46816,33501,4013,84330,2016,Jun
2016-06,Utah,19677,3433,3731,311,7475,2016,Jun
2016-06,Vermont,0,1240,1225,131,2596,2016,Jun
2016-06,Virgin Islands,74,24,7,0,31,2016,Jun
2016-06,Virginia,985,20132,15480,993,36605,2016,Jun
2016-06,Washington,13202,17040,13267,2576,32883,2016,Jun
2016-06,West Virginia,1822,6602,4821,375,11798,2016,Jun
2016-06,Wisconsin,5459,12464,11144,1173,24781,2016,Jun
2016-06,Wyoming,509,1638,2110,123,3871,2016,Jun
2016-05,Alabama,20092,7903,5256,254,13413,2016,May
2016-05,Alaska,253,2582,2391,190,5163,2016,May
2016-05,Arizona,6941,10994,6539,880,18413,2016,May
2016-05,Arkansas,5452,4551,3596,137,8284,2016,May
2016-05,California,91841,38301,28723,6124,73148,2016,May
2016-05,Colorado,6924,16293,11252,934,28479,2016,May
2016-05,Connecticut,15718,9953,3362,212,13527,2016,May
2016-05,Delaware,1255,1722,1121,66,2909,2016,May
2016-05,District of Columbia,57,47,6,0,53,2016,May
2016-05,Florida,27235,42845,17025,2625,62495,2016,May
2016-05,Georgia,13787,10866,5510,361,16737,2016,May
2016-05,Guam,0,119,56,8,183,2016,May
2016-05,Hawaii,1314,0,0,0,0,2016,May
2016-05,Idaho,1139,3132,3323,149,6604,2016,May
2016-05,Illinois,91026,19264,8686,0,27950,2016,May
2016-05,Indiana,91807,16842,9264,965,27071,2016,May
2016-05,Iowa,10729,121,1569,16,1706,2016,May
2016-05,Kansas,1006,4648,3553,281,8482,2016,May
2016-05,Kentucky,305018,8049,5244,222,13515,2016,May
2016-05,Louisiana,2376,9561,5788,668,16017,2016,May
2016-05,Maine,568,3009,2464,142,5615,2016,May
2016-05,Mariana Islands,0,0,1,0,1,2016,May
2016-05,Maryland,2567,4099,4148,130,8377,2016,May
2016-05,Massachusetts,7114,5278,2325,486,8089,2016,May
2016-05,Michigan,18750,9834,6490,344,16668,2016,May
2016-05,Minnesota,24146,8772,7638,637,17047,2016,May
2016-05,Mississippi,1981,7005,3541,215,10761,2016,May
2016-05,Missouri,9606,16909,10162,966,28037,2016,May
2016-05,Montana,1490,2724,3881,123,6728,2016,May
2016-05,Nebraska,3394,78,1277,9,1364,2016,May
2016-05,Nevada,2624,4365,2329,191,6885,2016,May
2016-05,New Hampshire,3719,4262,2645,137,7044,2016,May
2016-05,New Jersey,0,6542,3027,201,9770,2016,May
2016-05,New Mexico,1666,4485,3269,327,8081,2016,May
2016-05,New York,4053,10118,10815,684,21617,2016,May
2016-05,North Carolina,25228,1119,8506,518,10143,2016,May
2016-05,North Dakota,1319,1186,1798,85,3069,2016,May
2016-05,Ohio,14797,26069,13219,1435,40723,2016,May
2016-05,Oklahoma,0,10385,6490,779,17654,2016,May
2016-05,Oregon,28,12038,9194,0,21232,2016,May
